steps,mean 100 episode reward,episodes,% time spent exploring
324423,1800.4,558,35
324816,1804.4,559,35
325072,1804.6,560,34
325316,1794.9,561,34
325484,1778.2,562,34
325799,1778.8,563,34
326227,1782.6,564,34
326540,1780.8,565,34
326771,1788.0,566,34
327260,1803.4,567,34
327452,1791.2,568,34
327753,1781.4,569,34
328082,1777.2,570,34
328420,1774.6,571,34
328564,1764.4,572,34
328878,1773.6,573,34
329229,1764.6,574,34
329643,1771.1,575,34
329854,1767.3,576,34
330260,1783.0,577,33
330473,1786.0,578,33
330659,1780.5,579,33
331151,1784.5,580,33
331471,1788.3,581,33
331714,1776.8,582,33
331876,1761.3,583,33
332308,1755.9,584,33
332676,1757.1,585,33
333021,1763.8,586,33
333634,1773.3,587,33
333825,1770.8,588,33
334148,1757.7,589,33
334327,1744.0,590,33
334713,1743.9,591,33
334999,1747.1,592,33
335320,1744.2,593,32
335564,1742.7,594,32
336000,1746.9,595,32
336281,1744.8,596,32
336523,1729.5,597,32
336932,1733.3,598,32
337334,1729.8,599,32
337520,1717.3,600,32
337788,1721.2,601,32
338463,1724.1,602,32
338949,1737.0,603,32
339436,1735.6,604,32
339723,1742.8,605,32
340074,1739.5,606,31
340355,1740.0,607,31
340633,1740.5,608,31
340971,1747.0,609,31
341380,1747.1,610,31
341751,1747.8,611,31
342260,1749.2,612,31
342752,1766.7,613,31
343242,1775.5,614,31
343531,1777.1,615,31
343810,1780.1,616,31
343918,1768.8,617,31
344188,1763.9,618,31
344454,1736.5,619,31
344694,1730.7,620,31
345066,1746.7,621,30
345210,1747.0,622,30
345646,1742.5,623,30
345894,1741.2,624,30
346165,1738.2,625,30
346543,1754.4,626,30
346694,1746.6,627,30
347002,1744.3,628,30
347455,1746.5,629,30
347673,1731.8,630,30
347970,1724.2,631,30
348178,1703.8,632,30
348411,1690.6,633,30
348779,1700.8,634,30
349006,1701.2,635,30
349364,1707.1,636,30
349608,1711.2,637,30
349951,1703.9,638,30
350503,1711.7,639,29
350781,1712.5,640,29
350985,1716.4,641,29
351273,1720.8,642,29
351469,1724.8,643,29
351665,1718.0,644,29
352001,1724.6,645,29
352235,1728.0,646,29
352547,1732.8,647,29
352874,1735.4,648,29
353431,1743.4,649,29
353949,1741.5,650,29
354379,1746.6,651,29
354628,1744.7,652,29
354931,1745.9,653,29
355328,1747.2,654,28
355657,1742.7,655,28
356089,1746.3,656,28
356521,1750.7,657,28
356760,1750.4,658,28
357014,1743.1,659,28
357180,1739.3,660,28
357560,1739.2,661,28
357991,1748.0,662,28
358167,1742.0,663,28
358548,1743.0,664,28
358840,1736.5,665,28
359006,1732.6,666,28
359296,1721.8,667,28
359745,1727.5,668,28
360025,1722.8,669,27
360294,1723.3,670,27
360570,1716.2,671,27
360990,1725.2,672,27
361511,1723.6,673,27
361764,1717.4,674,27
362187,1714.9,675,27
362587,1718.6,676,27
362797,1707.0,677,27
363031,1704.6,678,27
363373,1712.4,679,27
363633,1706.8,680,27
363735,1697.4,681,27
364143,1703.8,682,27
364435,1707.6,683,27
364737,1707.0,684,27
364917,1698.4,685,27
365128,1688.1,686,26
365457,1685.8,687,26
365896,1690.3,688,26
366079,1685.6,689,26
366400,1693.4,690,26
366842,1684.1,691,26
367013,1684.6,692,26
367147,1677.1,693,26
367508,1681.1,694,26
367785,1671.6,695,26
368052,1673.4,696,26
368387,1673.3,697,26
368762,1677.2,698,26
368908,1672.1,699,26
369013,1664.5,700,26
369277,1661.9,701,26
369383,1644.8,702,26
369674,1628.5,703,26
369986,1625.7,704,26
370270,1624.6,705,25
370475,1613.2,706,25
370928,1615.7,707,25
371502,1631.8,708,25
371667,1620.2,709,25
372054,1619.2,710,25
372228,1611.5,711,25
372526,1607.4,712,25
372804,1591.4,713,25
373040,1586.2,714,25
373235,1589.8,715,25
373380,1585.7,716,25
373535,1589.4,717,25
373748,1589.3,718,25
374043,1589.8,719,25
374318,1588.2,720,25
374655,1579.2,721,25
375020,1582.6,722,24
375292,1582.8,723,24
375400,1575.3,724,24
375683,1579.5,725,24
376019,1571.4,726,24
376205,1576.0,727,24
376384,1568.0,728,24
376685,1562.8,729,24
376802,1557.8,730,24
377332,1565.4,731,24
377641,1570.8,732,24
378136,1575.0,733,24
378529,1568.5,734,24
378847,1568.3,735,24
379110,1567.6,736,24
379292,1563.7,737,24
379638,1569.6,738,24
380226,1571.9,739,23
380488,1570.8,740,23
380737,1567.8,741,23
380983,1569.9,742,23
381333,1577.4,743,23
381683,1577.8,744,23
382059,1578.1,745,23
382308,1579.3,746,23
382656,1576.1,747,23
382783,1561.1,748,23
383020,1542.3,749,23
383185,1538.8,750,23
383636,1538.6,751,23
383864,1542.0,752,23
384151,1547.3,753,23
384335,1540.5,754,23
384594,1543.8,755,23
384754,1532.1,756,23
384975,1530.8,757,23
385217,1536.2,758,22
385430,1534.1,759,22
385570,1533.7,760,22
386000,1533.2,761,22
386420,1529.8,762,22
386671,1536.6,763,22
386958,1536.1,764,22
387352,1535.3,765,22
387762,1542.6,766,22
387975,1542.6,767,22
388179,1532.4,768,22
388480,1533.9,769,22
388739,1529.9,770,22
388986,1532.2,771,22
389446,1539.2,772,22
389793,1536.1,773,22
390213,1545.6,774,21
390603,1549.1,775,21
390791,1541.2,776,21
391014,1541.2,777,21
391394,1546.8,778,21
391496,1535.4,779,21
391854,1545.3,780,21
392371,1561.9,781,21
392708,1556.8,782,21
392998,1560.2,783,21
393448,1571.4,784,21
393789,1580.7,785,21
393907,1576.4,786,21
394265,1569.8,787,21
394467,1565.5,788,21
394934,1569.7,789,21
395143,1565.5,790,20
395482,1568.8,791,20
395757,1572.2,792,20
396406,1585.9,793,20
396505,1572.6,794,20
396735,1561.2,795,20
396825,1554.0,796,20
397200,1557.4,797,20
397290,1544.2,798,20
397614,1549.8,799,20
397945,1554.4,800,20
398981,1564.6,801,20
399363,1575.5,802,20
